name,genres,popularity
Robin Trower,album rock;art rock;blues rock;british blues;classic rock;country rock;electric blues;hard rock;modern blues;modern blues rock;psychedelic rock;rock;southern rock,49
Rockpile,power pop;pub rock;rockabilly;roots rock,32
Rory Gallagher,album rock;blues;blues rock;british blues;classic rock;country rock;electric blues;hard rock;modern blues;psychedelic rock;rock,56
Rose Tattoo,"[australian rock;blues rock;hard rock,australian rock;blues rock;hard rock;rock]",40
Rosetta Stone,corrosion;dark post-punk;dark wave;ethereal wave;gothic rock,36
Rossington Collins Band,country rock;southern rock,31
Roxx Gang,glam metal;sleaze rock,20
Roy Buchanan,blues;blues rock;country rock;electric blues;modern blues,46
Royal Bliss,alternative metal;gymcore;hard alternative;heartland rock;modern hard rock;post-grunge,47
Royal Republic,german rock;modern alternative rock;swedish alternative rock;swedish garage rock,58
Running Wild,german metal;german power metal;hard rock;metal;neo-trad metal;old school thrash;pirate;power metal;speed metal,48
SEX MACHINEGUNS,j-metal;japanese heavy metal;visual kei,31
SHOW-YA,j-metal;japanese heavy metal,35
STEELHEART,glam metal;hard rock;sleaze rock,51
Saber Tiger,j-metal;japanese heavy metal,18
Sacred Reich,alternative metal;crossover thrash;death metal;funk metal;groove metal;metal;old school thrash;speed metal;thrash metal,43
Saigon Kick,glam metal;hard rock,42
Sailor,classic uk pop;nederpop,42
Saliva,alternative metal;nu metal;rap metal;rap rock;wrestling,65
Salty Dog,glam metal;sleaze rock,20
Sammy Hagar,album rock;classic rock;glam metal;hard rock;heartland rock;mellow gold;metal;rock;soft rock,59
Samson,nwobhm,28
Sanctuary,melodic thrash;metal;neo-trad metal;old school thrash;seattle metal;thrash metal;us power metal,33
Savatage,album rock;hard rock;metal;neo classical metal;power metal;progressive metal;rock;us power metal,49
Saving Abel,alternative metal;nu metal;post-grunge,59
Savoy Brown,blues;blues rock;british blues;classic rock;country rock;electric blues;hard rock;modern blues;modern blues rock;psychedelic rock;roots rock,46
Saxon,album rock;glam metal;hard rock;metal;nwobhm;power metal;rock,56
Scorpions,album rock;german hard rock;german metal;german rock;hard rock;metal;rock,77
Scott Stapp,alternative metal;post-grunge,47
Scott Weiland,alternative rock;grunge;rock,31
Screaming Trees,alternative metal;alternative rock;grunge;rock,51
Sebastian Bach,glam metal;hard rock;sleaze rock,40
Seether,alternative metal;nu metal;post-grunge;south african rock,74
Sepultura,alternative metal;brazilian groove metal;brazilian metal;brazilian thrash metal;death metal;deathrash;groove metal;hard rock;latin metal;metal;metal mineiro;nu metal;old school thrash;rap rock;rock;thrash metal,63
Sex Gang Children,dark wave;deathrock;gothic rock,28
Shakra,melodic hard rock;modern hard rock,39
Shaman's Harvest,alternative metal;modern hard rock;nu metal;post-grunge;wrestling,55
Shinedown,alternative metal;modern rock;nu metal;post-grunge,76
Shoes,modern power pop;power pop;pub rock;underground power pop,23
Shooting Star,album rock,29
Showaddywaddy,classic uk pop;glam rock,47
Shriekback,dance rock;new romantic;new wave;synthpop,37
Sick Puppies,alternative metal;christian rock;nu metal;post-grunge;rap rock,62
Silverchair,alternative metal;alternative rock;australian alternative rock;australian psych;grunge;nu metal;pop rock;post-grunge;rock,64
Silvertide,modern hard rock;philly indie,33
Sinner,german hard rock;german metal;neo-trad metal,25
Siouxsie and the Banshees,alternative rock;art rock;dance rock;dream pop;gothic rock;new romantic;new wave;new wave pop;post-punk;punk;uk post-punk,62
Sister,sleaze rock,36
Sister Sin,slayer;sleaze rock;swedish hard rock;swedish metal,37
Sixx:A.M.,alternative metal;nu metal;post-grunge,60
Skeletal Family,dark post-punk;dark wave;deathrock;ethereal wave;gothic rock,36
Skid Row,album rock;glam metal;hard rock;metal;rock,66
Skin Yard,grunge,34
Slade,album rock;art rock;blues rock;classic uk pop;glam rock;hard rock;rock;soft rock,57
Slash,hard rock;rock,64
Slash's Snakepit,hard rock;rock;supergroup,44
Slaughter,album rock;canadian metal;glam metal;hard rock;rock;sleaze rock,51
Slayer,alternative metal;death metal;hard rock;metal;nu metal;old school thrash;rock;speed metal;thrash metal,68
Sleeze Beez,glam metal;hard rock;sleaze rock,32
Smile Empty Soul,alternative metal;christian rock;nu metal;post-grunge;rap rock,53
Smith/Kotzen,hard rock;modern hard rock,42
Smokie,classic uk pop;europop;mellow gold;soft rock,61
Snowy White,blues rock;british blues;electric blues;modern blues,50
Sodom,black thrash;crossover thrash;death metal;deathrash;german metal;german thrash metal;hard rock;metal;old school thrash;speed metal;thrash metal,52
Sonata Arctica,finnish power metal;melodic metal;metal;neo classical metal;power metal;progressive metal;symphonic metal,60
Soul Asylum,alternative rock;grunge;permanent wave;pop rock;post-grunge;rock,60
Soulfly,alternative metal;groove metal;industrial metal;metal;nu metal;rap metal;rap rock,55
Soundgarden,alternative metal;alternative rock;blues rock;grunge;hard rock;modern rock;nu metal;rock,72
Sparzanza,swedish alternative rock;varmland rock,40
Spear Of Destiny,gothic rock;new wave,29
Specimen,dark wave;gothic rock,31
Sponge,alternative rock;grunge;pop rock;post-grunge,50
Spooky Tooth,blues rock;british blues;german rock;progressive rock;psychedelic blues-rock;psychedelic rock;symphonic rock,38
Starship,album rock;dance rock;mellow gold;new romantic;new wave;new wave pop;soft rock,70
Status Quo,album rock;blues rock;british blues;classic rock;classic uk pop;glam rock;hard rock;rock,66
Steel Panther,comic;comic metal;glam metal;hard rock;metal;rock;sleaze rock,58
Steeler,glam metal,26
Steppenwolf,acid rock;album rock;blues rock;classic canadian rock;classic rock;country rock;folk rock;hard rock;mellow gold;psychedelic rock;rock;roots rock,67
Stereoside,hard alternative;post-grunge,35
Steve Miller Band,album rock;blues rock;classic rock;country rock;folk rock;hard rock;heartland rock;mellow gold;psychedelic rock;rock;roots rock;soft rock,71
Steve Morse Band,neo classical metal;shred,27
Steve Perry,album rock;mellow gold;soft rock;yacht rock,58
Steve Stevens,glam metal;neo classical metal,47
Steve Vai,instrumental rock;metal guitar;neo classical metal;shred,55
Stone Gods,deep melodic hard rock,21
Stone Sour,alternative metal;nu metal;post-grunge;rap rock;rock,71
Stone Temple Pilots,alternative metal;alternative rock;grunge;hard rock;nu metal;pop rock;post-grunge;rock,72
Stormwarrior,german metal;german power metal;neo classical metal;neo-trad metal;power metal;speed metal;symphonic power metal,34
Stormwitch,metal;neo-trad metal;nwothm,26
Stratovarius,finnish power metal;melodic metal;metal;neo classical metal;power metal;progressive metal;symphonic metal,59
Streetheart,album rock;classic canadian rock,39
Styx,album rock;art rock;classic rock;folk rock;hard rock;mellow gold;progressive rock;rock;soft rock;symphonic rock,68
Submersed,alternative metal;hard alternative;nu metal;post-grunge,43
Sugarloaf,classic rock;country rock;soft rock,41
Suicidal Tendencies,alternative metal;crossover thrash;funk metal;hard rock;hardcore punk;metal;nu metal;old school thrash;punk;rap rock;rock;thrash metal,58
Supersuckers,punk 'n' roll;punk blues;roots rock,42
Suzi Quatro,classic uk pop;glam rock,59
Sweet,album rock;blues rock;classic rock;classic uk pop;glam rock;hard rock;rock,63
Symphony X,metal;neo classical metal;power metal;progressive metal;progressive power metal,51
T. Rex,album rock;art rock;classic rock;dance rock;folk rock;glam rock;protopunk;psychedelic rock;rock,66
Tad,alternative rock;grunge,37
Talisman,glam metal;hard rock;melodic hard rock;swedish hard rock;swedish melodic rock,41
Talk Show,supergroup,16
Tangier,glam metal;hard rock;philly indie,22
Tankard,crossover thrash;death metal;german metal;german thrash metal;metal;new wave of thrash metal;old school thrash;speed metal;thrash metal,40
Tantric,alternative metal;nu metal;post-grunge;rap rock,52
Taste,blues rock;british blues;psychedelic rock,38
Ted Nugent,acid rock;album rock;blues rock;classic rock;country rock;glam metal;hard rock;metal;rock;southern rock,62
Temple Of The Dog,alternative metal;alternative rock;grunge;hard rock;rock;supergroup,60
Ten Years After,album rock;art rock;blues;blues rock;british blues;classic rock;country rock;electric blues;folk rock;hard rock;psychedelic rock;rock;roots rock;symphonic rock,55
Tesla,album rock;classic rock;glam metal;hard rock;rock;sacramento indie,58
Testament,alternative metal;death metal;groove metal;hard rock;metal;old school thrash;rock;thrash metal,58
Texas Hippie Coalition,alternative metal;nu metal;southern metal,49
The Answer,deep melodic hard rock;modern hard rock,31
The B-52's,art rock;dance rock;new romantic;new wave;new wave pop;permanent wave;post-punk;rock;zolo,65
The Babys,album rock;classic rock;hard rock;mellow gold;soft rock,47
The Birthday Party,australian post-punk;dance-punk;experimental;experimental rock;gothic rock;industrial;post-punk;punk blues,39
The Black Crowes,album rock;alternative rock;blues rock;classic rock;country rock;hard rock;jam band;mellow gold;pop rock;rock;roots rock;southern rock,67
The Bolshoi,gothic rock;new wave,41
The Carburetors,norwegian rock;punk 'n' roll,33
The Cars,album rock;art rock;classic rock;dance rock;folk rock;hard rock;mellow gold;new romantic;new wave;new wave pop;permanent wave;pop rock;power pop;rock;soft rock,70
The Chameleons,dance rock;gothic rock;new romantic;new wave;post-punk;shoegaze;uk post-punk,48
The Charlie Daniels Band,classic rock;country;country rock;southern rock,64
The Church,alternative rock;australian rock;dance rock;dream pop;new romantic;new wave;post-punk;uk post-punk,56
The Cruel Intentions,new wave of glam metal;sleaze rock,27
The Cult,album rock;alternative rock;classic rock;dance rock;glam metal;hard rock;metal;rock,63
The Damned,alternative rock;dance rock;gothic rock;hardcore punk;new wave;post-punk;pub rock;punk;uk post-punk,54
The Danse Society,dark post-punk;dark wave;dream pop;ethereal wave;gothic post-punk;gothic rock;new wave;post-punk;uk post-punk,35
The Darkness,glam metal;hard rock;rock,60
The Dead Daisies,hard rock;modern hard rock;nwocr,52
The Edgar Winter Group,album rock;blues rock;classic rock;country rock;hard rock;soft rock,52
The Fixx,album rock;art rock;dance rock;mellow gold;new romantic;new wave;new wave pop;soft rock,51
The Georgia Satellites,album rock;blues rock;classic rock;country rock;hard rock;pub rock;rock;southern rock,52
The Glove,dream pop;gothic rock;new wave;post-punk;supergroup;uk post-punk,32
The Go-Go's,album rock;candy pop;dance rock;girl group;jangle pop;mellow gold;new romantic;new wave;new wave pop;permanent wave;pop rock;rock;soft rock;synthpop,59
The Greg Kihn Band,album rock,51
The Gregg Allman Band,blues rock;country rock;southern rock,42
The Groundhogs,blues rock;british blues;german rock;psychedelic blues-rock;psychedelic rock;pub rock,38
The Guess Who,album rock;blues rock;classic canadian rock;classic rock;country rock;folk rock;hard rock;heartland rock;mellow gold;rock;roots rock;soft rock,60
The Hellacopters,action rock;punk 'n' roll;swedish alternative rock;swedish garage rock,52
The J. Geils Band,album rock;blues rock;classic rock;country rock;dance rock;folk rock;hard rock;mellow gold;rock;roots rock;soft rock,62
The Jeff Healey Band,blues rock;canadian blues;classic rock;electric blues;modern blues,51
The Knack,album rock;new wave pop;power pop,61
The Last Vegas,modern hard rock;sleaze rock,28
The March Violets,dark wave;deathrock;gothic rock,28
The Marshall Tucker Band,album rock;blues rock;classic rock;country rock;folk rock;mellow gold;rock;roots rock;soft rock;southern rock,62
The Mayfield Four,grunge pop,30
The Mission,dark wave;gothic rock;new romantic;new wave,48
The Motels,album rock;dance rock;mellow gold;new romantic;new wave;new wave pop;soft rock;synthpop,46
The Outfield,album rock;mellow gold;new romantic;new wave pop;power pop;rock;soft rock,68
The Outlaws,album rock;blues rock;classic rock;country rock;hard rock;heartland rock;mellow gold;rock;soft rock;southern rock,51
The Ozark Mountain Daredevils,album rock;classic rock;country rock;folk rock;mellow gold;soft rock;southern rock,48
The Parlor Mob,asbury park indie;modern alternative rock;modern blues rock;modern hard rock,44
The Plimsouls,jangle pop;power pop;underground power pop,35
The Police,album rock;art rock;classic rock;dance rock;mellow gold;new wave;permanent wave;rock;soft rock,79
The Poodles,melodic hard rock;sleaze rock;swedish hard rock;swedish melodic rock,41
The Power Station,dance rock;new romantic;new wave;new wave pop;synthpop,43
The Psychedelic Furs,art rock;dance rock;new romantic;new wave;new wave pop;post-punk;rock;uk post-punk,61
The Quireboys,glam metal;hard rock;modern hard rock;sleaze rock,40
The Records,jangle pop;power pop;pub rock;underground power pop,29
The Rods,"[neo-trad metal;nwothm,neo-trad metal]",34
The Romantics,album rock;dance rock;mellow gold;new romantic;new wave;new wave pop;power pop;soft rock,60
The Rubettes,bubblegum pop;classic uk pop;glam rock;nederpop,48
The Sensational Alex Harvey Band,blues rock;glam rock;pub rock,38
The Sign of the Southern Cross,groove metal;north carolina metal;southern metal,24
The Smashing Pumpkins,alternative metal;alternative rock;grunge;permanent wave;pop rock;rock,76
The Smithereens,alternative rock;beatlesque;dance rock;jangle pop;new jersey indie;new wave;new wave pop;pop rock;power pop;roots rock,47
The Sound,dance rock;gothic rock;new wave;post-punk;uk post-punk,44
The Southern Death Cult,gothic rock,24
The Temperance Movement,modern blues rock;modern hard rock,41
The Treatment,modern hard rock;nwocr;sleaze rock,34
The Tubes,album rock;art rock;classic rock;dance rock;mellow gold;new wave;new wave pop;soft rock;zolo,48
The Vapors,dance rock;mod revival;new wave;new wave pop;pub rock,47
The Veer Union,alternative metal;christian rock;gymcore;hard alternative;nu metal;post-grunge;post-screamo,55
The Wildhearts,modern hard rock,38
The Winery Dogs,modern hard rock,44
Them Crooked Vultures,alternative metal;alternative rock;blues rock;modern alternative rock;modern blues rock;modern rock;rock;stoner rock;supergroup,55
Theory of a Deadman,alternative metal;canadian metal;canadian rock;nu metal;post-grunge;rap rock;wrestling,71
Thin Lizzy,album rock;art rock;blues rock;classic rock;hard rock;irish rock;metal;rock,68
Thornley,alternative metal;canadian rock;nu metal;post-grunge,37
Threshold,neo classical metal;neo-progressive;prog metal;progressive metal;symphonic rock,37
Thunder,album rock;glam metal;hard rock;modern hard rock,48
Tigertailz,glam metal;sleaze rock,22
Toadies,alternative metal;alternative rock;grunge;post-grunge,55
Tokyo Blade,metal;neo-trad metal;nwobhm;nwothm,35
Tommy Bolin,blues rock;classic rock;country rock;hard rock,34
Tommy Shaw,album rock,35
Tommy Tutone,album rock;new wave pop,53
Tones On Tail,dance rock;dark wave;gothic rock;industrial;industrial rock;new romantic;new wave;post-punk;uk post-punk,41
Tony MacAlpine,instrumental rock;metal guitar;neo classical metal;shred,32
Tora Tora,glam metal;hard rock;sleaze rock,30
Toronto,classic canadian rock,33
Toxik,metal;old school thrash;speed metal;technical thrash;thrash metal,27
Traffic,album rock;art rock;blues rock;british blues;classic rock;country rock;electric blues;folk;folk rock;hard rock;jam band;mellow gold;progressive rock;psychedelic rock;rock;roots rock;soft rock;symphonic rock,56
Trapeze,blues rock;psychedelic blues-rock,29
Treat,glam metal;hard rock;melodic hard rock;swedish hard rock;swedish melodic rock,37
Tremonti,alternative metal;modern hard rock;post-grunge,50
Triumph,album rock;canadian metal;classic canadian rock;classic rock;glam metal;hard rock;mellow gold;metal;rock;soft rock,51
Trixter,glam metal;hard rock;sleaze rock,35
Trooper,album rock;classic canadian rock;romanian rock,47
Turbonegro,glam punk;norwegian punk rock;norwegian rock;punk;punk 'n' roll,52
Twisted Sister,album rock;glam metal;hard rock;metal;rock,67
Tygers Of Pan Tang,hard rock;metal;modern hard rock;nwobhm,41
Tyketto,glam metal;hard rock;melodic hard rock;sleaze rock,40
Type O Negative,alternative metal;gothic metal;hard rock;industrial metal;industrial rock;metal;nu metal;rock,61
U.D.O.,german heavy metal;german metal;hard rock;metal;power metal,51
UFO,album rock;blues rock;classic rock;glam metal;hard rock;metal;rock,56
Ugly Kid Joe,funk metal;funk rock;glam metal;hard rock;rock,57
Uli Jon Roth,german hard rock;neo classical metal,29
Urban Dance Squad,dutch indie;dutch rock;funk metal;funk rock;laboratorio;old school nederhop,38
Uriah Heep,album rock;art rock;blues rock;classic rock;hard rock;metal;progressive rock;psychedelic rock;rock;symphonic rock,57
VOW WOW,j-metal;japanese heavy metal,24
Vain,glam metal;sleaze rock,26
Vains Of Jenna,glam metal;new wave of glam metal;sleaze rock;swedish hard rock,26
Van Halen,album rock;classic rock;hard rock;rock,77
Van Zant,country rock;southern rock,35
Vandenberg,album rock;dutch rock;glam metal;hard rock;metal;modern hard rock,41
Velvet Revolver,alternative metal;alternative rock;hard rock;nu metal;rock;supergroup,60
Venom,black metal;black thrash;british black metal;death metal;hard rock;metal;nwobhm;old school thrash;rock;speed metal;thrash metal,49
Vicious Rumors,metal;neo-trad metal;nwothm;speed metal;thrash metal;us power metal,28
Vince Neil,glam metal;hard rock;sleaze rock,42
Vinnie Moore,instrumental rock;neo classical metal;shred,38
Vinnie Vincent Invasion,glam metal;hard rock;sleaze rock,35
Vio-Lence,crossover thrash;metal;old school thrash;thrash metal,31
Virgin Steele,melodic metal;metal;neo classical metal;neo-trad metal;power metal;us power metal,33
Vixen,glam metal;hard rock,46
Voivod,canadian metal;cyberpunk;death metal;metal;old school thrash;speed metal;technical thrash;thrash metal,39
Voodoo Six,deep melodic hard rock;modern hard rock,20
W.A.S.P.,album rock;glam metal;hard rock;metal;rock,61
Walter Trout,blues;blues rock;country rock;electric blues;modern blues;modern blues rock,47
Wang Chung,album rock;dance rock;mellow gold;new romantic;new wave;new wave pop;soft rock;synthpop,58
Warlock,german hard rock;german metal;glam metal;hard rock;metal,44
Warlord,greek metal;metal;neo-trad metal;nwothm;us power metal,27
Warrant,album rock;glam metal;hard rock;rock,62
Waysted,glam metal;hard rock;sleaze rock,23
West  Bruce & Laing,blues rock;supergroup,19
Wet Willie,country rock;southern rock,39
Whiplash,death metal;metal;old school thrash;speed metal;thrash metal,33
White Lion,album rock;glam metal;hard rock;rock,58
White Zombie,alternative metal;alternative rock;hard rock;industrial metal;metal;nu metal;rap metal;rap rock;rock,61
Whitesnake,album rock;british blues;classic rock;glam metal;hard rock;metal;rock,70
Wig Wam,glam metal;glam rock;hard rock;melodic hard rock;sleaze rock,43
Wildside,glam metal;sleaze rock,21
Winger,album rock;glam metal;hard rock;rock,53
Wishbone Ash,album rock;art rock;blues rock;british blues;classic rock;classic uk pop;hard rock;jazz fusion;progressive rock;psychedelic rock;rock;symphonic rock,50
Wizzard,classic uk pop;glam rock,47
Xmal Deutschland,dark post-punk;dark wave;deathrock;ethereal wave;gothic rock;neue deutsche welle;post-punk;uk post-punk,38
Y&T,album rock;glam metal;hard rock;metal;rock;sleaze rock,48
Yngwie Malmsteen,album rock;hard rock;instrumental rock;metal;metal guitar;neo classical metal;power metal;rock;shred;swedish hard rock,55
ZZ Top,album rock;blues rock;classic rock;country rock;hard rock;metal;rock,73
Zakk Wylde,hard rock;metal,59
Zebra,album rock;glam metal;hard rock,36